Nivel;Cod;setores;Ano;tipo;Qtd;Temp_Max;TempMin;Media;
BR;151;Agropecuaria;1990;CO2;0;14,34;12,65;13,495;
BR;152;Agropecuaria;1990;CH4;9186;14,34;12,65;13,495;
BR;153;Agropecuaria;1990;N2O;304;14,34;12,65;13,495;
BR;154;Agropecuaria;1991;CO2;0;15,05;13,2;14,125;
BR;155;Agropecuaria;1991;CH4;9474;15,05;13,2;14,125;
BR;156;Agropecuaria;1991;N2O;311;15,05;13,2;14,125;
BR;157;Agropecuaria;1992;CO2;0;14,43;12,5;13,465;
BR;158;Agropecuaria;1992;CH4;9639;14,43;12,5;13,465;
BR;159;Agropecuaria;1992;N2O;320;14,43;12,5;13,465;
BR;160;Agropecuaria;1993;CO2;0;14,7;12,42;13,56;
BR;161;Agropecuaria;1993;CH4;9681;14,7;12,42;13,56;
BR;162;Agropecuaria;1993;N2O;324;14,7;12,42;13,56;
BR;163;Agropecuaria;1994;CO2;0;14,88;11,99;13,435;
BR;164;Agropecuaria;1994;CH4;9865;14,88;11,99;13,435;
BR;165;Agropecuaria;1994;N2O;335;14,88;11,99;13,435;
BR;166;Agropecuaria;1995;CO2;0;14,91;13,31;14,11;
BR;167;Agropecuaria;1995;CH4;10058;14,91;13,31;14,11;
BR;168;Agropecuaria;1995;N2O;340;14,91;13,31;14,11;
BR;169;Agropecuaria;1996;CO2;0;14,24;12,9;13,57;
BR;170;Agropecuaria;1996;CH4;9742;14,24;12,9;13,57;
BR;171;Agropecuaria;1996;N2O;319;14,24;12,9;13,57;
BR;172;Agropecuaria;1997;CO2;0;14,62;13,01;13,815;
BR;173;Agropecuaria;1997;CH4;9888;14,62;13,01;13,815;
BR;174;Agropecuaria;1997;N2O;330;14,62;13,01;13,815;
BR;175;Agropecuaria;1998;CO2;0;14,9;13,55;14,225;
BR;176;Agropecuaria;1998;CH4;9964;14,9;13,55;14,225;
BR;177;Agropecuaria;1998;N2O;337;14,9;13,55;14,225;
BR;178;Agropecuaria;1999;CO2;0;15,03;12,69;13,86;
BR;179;Agropecuaria;1999;CH4;10112;15,03;12,69;13,86;
BR;180;Agropecuaria;1999;N2O;340;15,03;12,69;13,86;
BR;181;Agropecuaria;2000;CO2;0;15,36;12,84;14,1;
BR;182;Agropecuaria;2000;CH4;10382;15,36;12,84;14,1;
BR;183;Agropecuaria;2000;N2O;356;15,36;12,84;14,1;
BR;184;Agropecuaria;2001;CO2;0;15,52;12,72;14,12;
BR;185;Agropecuaria;2001;CH4;10758;15,52;12,72;14,12;
BR;186;Agropecuaria;2001;N2O;367;15,52;12,72;14,12;
BR;187;Agropecuaria;2002;CO2;0;15,84;13,04;14,44;
BR;188;Agropecuaria;2002;CH4;11121;15,84;13,04;14,44;
BR;189;Agropecuaria;2002;N2O;382;15,84;13,04;14,44;
BR;190;Agropecuaria;2003;CO2;0;15,61;12,89;14,25;
BR;191;Agropecuaria;2003;CH4;11667;15,61;12,89;14,25;
BR;192;Agropecuaria;2003;N2O;412;15,61;12,89;14,25;
BR;193;Agropecuaria;2004;CO2;0;15,48;12,96;14,22;
BR;194;Agropecuaria;2004;CH4;12196;15,48;12,96;14,22;
BR;195;Agropecuaria;2004;N2O;420;15,48;12,96;14,22;
BR;196;Agropecuaria;2005;CO2;0;15,76;13,09;14,425;
BR;197;Agropecuaria;2005;CH4;12358;15,76;13,09;14,425;
BR;198;Agropecuaria;2005;N2O;429;15,76;13,09;14,425;
BR;199;Agropecuaria;2006;CO2;0;15,36;13,22;14,29;
BR;200;Agropecuaria;2006;CH4;12293;15,36;13,22;14,29;
BR;201;Agropecuaria;2006;N2O;433;15,36;13,22;14,29;
BR;202;Agropecuaria;2007;CO2;0;15,18;13,17;14,175;
BR;203;Agropecuaria;2007;CH4;11707;15,18;13,17;14,175;
BR;204;Agropecuaria;2007;N2O;445;15,18;13,17;14,175;
BR;205;Agropecuaria;2008;CO2;0;15,03;13,12;14,075;
BR;206;Agropecuaria;2008;CH4;11955;15,03;13,12;14,075;
BR;207;Agropecuaria;2008;N2O;448;15,03;13,12;14,075;
BR;208;Agropecuaria;2009;CO2;0;14,88;13,07;13,975;
BR;209;Agropecuaria;2009;CH4;12166;14,88;13,07;13,975;
BR;210;Agropecuaria;2009;N2O;454;14,88;13,07;13,975;
BR;211;Agropecuaria;2010;CO2;0;14,73;13,05;13,89;
BR;212;Agropecuaria;2010;CH4;12416;14,73;13,05;13,89;
BR;213;Agropecuaria;2010;N2O;472;14,73;13,05;13,89;
BR;214;Agropecuaria;2011;CO2;0;14,53;12,85;13,69;
BR;215;Agropecuaria;2011;CH4;12641;14,53;12,85;13,69;
BR;216;Agropecuaria;2011;N2O;494;14,53;12,85;13,69;
BR;217;Agropecuaria;2012;CO2;0;15,45;13,47;14,46;
BR;218;Agropecuaria;2012;CH4;12492;15,45;13,47;14,46;
BR;219;Agropecuaria;2012;N2O;491;15,45;13,47;14,46;
BR;220;Agropecuaria;2013;CO2;0;15,28;13,78;14,53;
BR;221;Agropecuaria;2013;CH4;12573;15,28;13,78;14,53;
BR;222;Agropecuaria;2013;N2O;504;15,28;13,78;14,53;
BR;223;Agropecuaria;2014;CO2;0;14,96;13,22;14,09;
BR;224;Agropecuaria;2014;CH4;12641;14,96;13,22;14,09;
BR;225;Agropecuaria;2014;N2O;514;14,96;13,22;14,09;
