Nivel;Cod;setores;Ano;tipo;Qtd;Temp_Max;TempMin;Media
BR;76;Processos industriais;1990;CO2;43551;14,34;12,65;13,50
BR;77;Processos industriais;1990;CH4;47;14,34;12,65;13,50
BR;78;Processos industriais;1990;N2O;12;14,34;12,65;13,50
BR;79;Processos industriais;1991;CO2;49037;15,05;13,2;14,13
BR;80;Processos industriais;1991;CH4;42;15,05;13,2;14,13
BR;81;Processos industriais;1991;N2O;15;15,05;13,2;14,13
BR;82;Processos industriais;1992;CO2;47440;14,43;12,5;13,47
BR;83;Processos industriais;1992;CH4;40;14,43;12,5;13,47
BR;84;Processos industriais;1992;N2O;14;14,43;12,5;13,47
BR;85;Processos industriais;1993;CO2;50742;14,7;12,42;13,56
BR;86;Processos industriais;1993;CH4;43;14,7;12,42;13,56
BR;87;Processos industriais;1993;N2O;17;14,7;12,42;13,56
BR;88;Processos industriais;1994;CO2;51516;14,88;11,99;13,44
BR;89;Processos industriais;1994;CH4;44;14,88;11,99;13,44
BR;90;Processos industriais;1994;N2O;18;14,88;11,99;13,44
BR;91;Processos industriais;1995;CO2;54643;14,91;13,31;14,11
BR;92;Processos industriais;1995;CH4;41;14,91;13,31;14,11
BR;93;Processos industriais;1995;N2O;19;14,91;13,31;14,11
BR;94;Processos industriais;1996;CO2;58317;14,24;12,9;13,57
BR;95;Processos industriais;1996;CH4;38;14,24;12,9;13,57
BR;96;Processos industriais;1996;N2O;15;14,24;12,9;13,57
BR;97;Processos industriais;1997;CO2;61125;14,62;13,01;13,82
BR;98;Processos industriais;1997;CH4;38;14,62;13,01;13,82
BR;99;Processos industriais;1997;N2O;13;14,62;13,01;13,82
BR;100;Processos industriais;1998;CO2;62611;14,9;13,55;14,23
BR;101;Processos industriais;1998;CH4;36;14,9;13,55;14,23
BR;102;Processos industriais;1998;N2O;20;14,9;13,55;14,23
BR;103;Processos industriais;1999;CO2;61714;15,03;12,69;13,86
BR;104;Processos industriais;1999;CH4;40;15,03;12,69;13,86
BR;105;Processos industriais;1999;N2O;20;15,03;12,69;13,86
BR;106;Processos industriais;2000;CO2;65991;15,36;12,84;14,10
BR;107;Processos industriais;2000;CH4;44;15,36;12,84;14,10
BR;108;Processos industriais;2000;N2O;21;15,36;12,84;14,10
BR;109;Processos industriais;2001;CO2;63423;15,52;12,72;14,12
BR;110;Processos industriais;2001;CH4;40;15,52;12,72;14,12
BR;111;Processos industriais;2001;N2O;17;15,52;12,72;14,12
BR;112;Processos industriais;2002;CO2;66195;15,84;13,04;14,44
BR;113;Processos industriais;2002;CH4;41;15,84;13,04;14,44
BR;114;Processos industriais;2002;N2O;22;15,84;13,04;14,44
BR;115;Processos industriais;2003;CO2;67056;15,61;12,89;14,25
BR;116;Processos industriais;2003;CH4;48;15,61;12,89;14,25
BR;117;Processos industriais;2003;N2O;20;15,61;12,89;14,25
BR;118;Processos industriais;2004;CO2;69452;15,48;12,96;14,22
BR;119;Processos industriais;2004;CH4;56;15,48;12,96;14,22
BR;120;Processos industriais;2004;N2O;28;15,48;12,96;14,22
BR;121;Processos industriais;2005;CO2;68016;15,76;13,09;14,43
BR;122;Processos industriais;2005;CH4;55;15,76;13,09;14,43
BR;123;Processos industriais;2005;N2O;24;15,76;13,09;14,43
BR;124;Processos industriais;2006;CO2;67476;15,36;13,22;14,29
BR;125;Processos industriais;2006;CH4;56;15,36;13,22;14,29
BR;126;Processos industriais;2006;N2O;26;15,36;13,22;14,29
BR;127;Processos industriais;2007;CO2;73561;15,18;13,17;14,18
BR;128;Processos industriais;2007;CH4;58;15,18;13,17;14,18
BR;129;Processos industriais;2007;N2O;4;15,18;13,17;14,18
BR;130;Processos industriais;2008;CO2;75910;15,03;13,12;14,08
BR;131;Processos industriais;2008;CH4;56;15,03;13,12;14,08
BR;132;Processos industriais;2008;N2O;4;15,03;13,12;14,08
BR;133;Processos industriais;2009;CO2;66738;14,88;13,07;13,98
BR;134;Processos industriais;2009;CH4;39;14,88;13,07;13,98
BR;135;Processos industriais;2009;N2O;2;14,88;13,07;13,98
BR;136;Processos industriais;2010;CO2;80785;14,73;13,05;13,89
BR;137;Processos industriais;2010;CH4;45;14,73;13,05;13,89
BR;138;Processos industriais;2010;N2O;2;14,73;13,05;13,89
BR;139;Processos industriais;2011;CO2;89147;14,53;12,85;13,69
BR;140;Processos industriais;2011;CH4;47;14,53;12,85;13,69
BR;141;Processos industriais;2011;N2O;2;14,53;12,85;13,69
BR;142;Processos industriais;2012;CO2;88878;15,45;13,47;14,46
BR;143;Processos industriais;2012;CH4;43;15,45;13,47;14,46
BR;144;Processos industriais;2012;N2O;2;15,45;13,47;14,46
BR;145;Processos industriais;2013;CO2;87445;15,28;13,78;14,53
BR;146;Processos industriais;2013;CH4;41;15,28;13,78;14,53
BR;147;Processos industriais;2013;N2O;2;15,28;13,78;14,53
BR;148;Processos industriais;2014;CO2;87857;14,96;13,22;14,09
BR;149;Processos industriais;2014;CH4;39;14,96;13,22;14,09
BR;150;Processos industriais;2014;N2O;3;14,96;13,22;14,09
