Nivel;Cod;setores;Ano;tipo;Qtd;Temp_Max;TempMin;Media
BR;2;Producao de energia;1990;CH4;546;14,34;12,65;13,50
BR;1;Producao de energia;1990;CO2;169985;14,34;12,65;13,50
BR;3;Producao de energia;1990;N2O;14;14,34;12,65;13,50
BR;5;Producao de energia;1991;CH4;549;15,05;13,2;14,13
BR;4;Producao de energia;1991;CO2;175607;15,05;13,2;14,13
BR;6;Producao de energia;1991;N2O;14;15,05;13,2;14,13
BR;8;Producao de energia;1992;CH4;536;14,43;12,5;13,47
BR;7;Producao de energia;1992;CO2;179327;14,43;12,5;13,47
BR;9;Producao de energia;1992;N2O;14;14,43;12,5;13,47
BR;11;Producao de energia;1993;CH4;499;14,7;12,42;13,56
BR;10;Producao de energia;1993;CO2;185010;14,7;12,42;13,56
BR;12;Producao de energia;1993;N2O;14;14,7;12,42;13,56
BR;14;Producao de energia;1994;CH4;495;14,88;11,99;13,44
BR;13;Producao de energia;1994;CO2;193669;14,88;11,99;13,44
BR;15;Producao de energia;1994;N2O;15;14,88;11,99;13,44
BR;17;Producao de energia;1995;CH4;474;14,91;13,31;14,11
BR;16;Producao de energia;1995;CO2;209124;14,91;13,31;14,11
BR;18;Producao de energia;1995;N2O;15;14,91;13,31;14,11
BR;20;Producao de energia;1996;CH4;464;14,24;12,9;13,57
BR;19;Producao de energia;1996;CO2;225121;14,24;12,9;13,57
BR;21;Producao de energia;1996;N2O;16;14,24;12,9;13,57
BR;23;Producao de energia;1997;CH4;480;14,62;13,01;13,82
BR;22;Producao de energia;1997;CO2;239744;14,62;13,01;13,82
BR;24;Producao de energia;1997;N2O;17;14,62;13,01;13,82
BR;26;Producao de energia;1998;CH4;488;14,9;13,55;14,23
BR;25;Producao de energia;1998;CO2;249209;14,9;13,55;14,23
BR;27;Producao de energia;1998;N2O;18;14,9;13,55;14,23
BR;29;Producao de energia;1999;CH4;499;15,03;12,69;13,86
BR;28;Producao de energia;1999;CO2;260751;15,03;12,69;13,86
BR;30;Producao de energia;1999;N2O;19;15,03;12,69;13,86
BR;32;Producao de energia;2000;CH4;512;15,36;12,84;14,10
BR;31;Producao de energia;2000;CO2;267646;15,36;12,84;14,10
BR;33;Producao de energia;2000;N2O;19;15,36;12,84;14,10
BR;35;Producao de energia;2001;CH4;543;15,52;12,72;14,12
BR;34;Producao de energia;2001;CO2;276893;15,52;12,72;14,12
BR;36;Producao de energia;2001;N2O;20;15,52;12,72;14,12
BR;38;Producao de energia;2002;CH4;572;15,84;13,04;14,44
BR;37;Producao de energia;2002;CO2;273412;15,84;13,04;14,44
BR;39;Producao de energia;2002;N2O;21;15,84;13,04;14,44
BR;41;Producao de energia;2003;CH4;569;15,61;12,89;14,25
BR;40;Producao de energia;2003;CO2;268111;15,61;12,89;14,25
BR;42;Producao de energia;2003;N2O;23;15,61;12,89;14,25
BR;44;Producao de energia;2004;CH4;605;15,48;12,96;14,22
BR;43;Producao de energia;2004;CO2;282581;15,48;12,96;14,22
BR;45;Producao de energia;2004;N2O;24;15,48;12,96;14,22
BR;47;Producao de energia;2005;CH4;685;15,76;13,09;14,43
BR;46;Producao de energia;2005;CO2;290621;15,76;13,09;14,43
BR;48;Producao de energia;2005;N2O;25;15,76;13,09;14,43
BR;50;Producao de energia;2006;CH4;648;15,36;13,22;14,29
BR;49;Producao de energia;2006;CO2;295611;15,36;13,22;14,29
BR;51;Producao de energia;2006;N2O;26;15,36;13,22;14,29
BR;53;Producao de energia;2007;CH4;635;15,18;13,17;14,18
BR;52;Producao de energia;2007;CO2;308967;15,18;13,17;14,18
BR;54;Producao de energia;2007;N2O;27;15,18;13,17;14,18
BR;56;Producao de energia;2008;CH4;639;15,03;13,12;14,08
BR;55;Producao de energia;2008;CO2;327452;15,03;13,12;14,08
BR;57;Producao de energia;2008;N2O;29;15,03;13,12;14,08
BR;59;Producao de energia;2009;CH4;686;14,88;13,07;13,98
BR;58;Producao de energia;2009;CO2;315649;14,88;13,07;13,98
BR;60;Producao de energia;2009;N2O;28;14,88;13,07;13,98
BR;62;Producao de energia;2010;CH4;629;14,73;13,05;13,89
BR;61;Producao de energia;2010;CO2;347974;14,73;13,05;13,89
BR;63;Producao de energia;2010;N2O;32;14,73;13,05;13,89
BR;65;Producao de energia;2011;CH4;586;14,53;12,85;13,69
BR;64;Producao de energia;2011;CO2;362225;14,53;12,85;13,69
BR;66;Producao de energia;2011;N2O;34;14,53;12,85;13,69
BR;68;Producao de energia;2012;CH4;597;15,45;13,47;14,46
BR;67;Producao de energia;2012;CO2;395214;15,45;13,47;14,46
BR;69;Producao de energia;2012;N2O;37;15,45;13,47;14,46
BR;71;Producao de energia;2013;CH4;571;15,28;13,78;14,53
BR;70;Producao de energia;2013;CO2;423169;15,28;13,78;14,53
BR;72;Producao de energia;2013;N2O;38;15,28;13,78;14,53
BR;74;Producao de energia;2014;CH4;578;14,96;13,22;14,09
BR;73;Producao de energia;2014;CO2;445197;14,96;13,22;14,09
BR;75;Producao de energia;2014;N2O;40;14,96;13,22;14,09
