Nivel;Cod;setores;Ano;tipo;Qtd;Temp_Max;TempMin;Media
BR;227;Uso da terra, mudanca do uso da terra e florestas;1990;CH4;1042;14,34;12,65;13,495
BR;226;Uso da terra, mudanca do uso da terra e florestas;1990;CO2;751870;14,34;12,65;13,495
BR;228;Uso da terra, mudanca do uso da terra e florestas;1990;N2O;43;14,34;12,65;13,495
BR;230;Uso da terra, mudanca do uso da terra e florestas;1991;CH4;959;15,05;13,2;14,125
BR;229;Uso da terra, mudanca do uso da terra e florestas;1991;CO2;611700;15,05;13,2;14,125
BR;231;Uso da terra, mudanca do uso da terra e florestas;1991;N2O;41;15,05;13,2;14,125
BR;233;Uso da terra, mudanca do uso da terra e florestas;1992;CH4;1153;14,43;12,5;13,465
BR;232;Uso da terra, mudanca do uso da terra e florestas;1992;CO2;754770;14,43;12,5;13,465
BR;234;Uso da terra, mudanca do uso da terra e florestas;1992;N2O;47;14,43;12,5;13,465
BR;236;Uso da terra, mudanca do uso da terra e florestas;1993;CH4;1222;14,7;12,42;13,56
BR;235;Uso da terra, mudanca do uso da terra e florestas;1993;CO2;812400;14,7;12,42;13,56
BR;237;Uso da terra, mudanca do uso da terra e florestas;1993;N2O;49;14,7;12,42;13,56
BR;239;Uso da terra, mudanca do uso da terra e florestas;1994;CH4;1213;14,88;11,99;13,435
BR;238;Uso da terra, mudanca do uso da terra e florestas;1994;CO2;812400;14,88;11,99;13,435
BR;240;Uso da terra, mudanca do uso da terra e florestas;1994;N2O;49;14,88;11,99;13,435
BR;242;Uso da terra, mudanca do uso da terra e florestas;1995;CH4;2896;14,91;13,31;14,11
BR;241;Uso da terra, mudanca do uso da terra e florestas;1995;CO2;1832110;14,91;13,31;14,11
BR;243;Uso da terra, mudanca do uso da terra e florestas;1995;N2O;107;14,91;13,31;14,11
BR;245;Uso da terra, mudanca do uso da terra e florestas;1996;CH4;2016;14,24;12,9;13,57
BR;244;Uso da terra, mudanca do uso da terra e florestas;1996;CO2;1184590;14,24;12,9;13,57
BR;246;Uso da terra, mudanca do uso da terra e florestas;1996;N2O;81;14,24;12,9;13,57
BR;248;Uso da terra, mudanca do uso da terra e florestas;1997;CH4;1657;14,62;13,01;13,815
BR;247;Uso da terra, mudanca do uso da terra e florestas;1997;CO2;891440;14,62;13,01;13,815
BR;249;Uso da terra, mudanca do uso da terra e florestas;1997;N2O;70;14,62;13,01;13,815
BR;251;Uso da terra, mudanca do uso da terra e florestas;1998;CH4;1984;14,9;13,55;14,225
BR;250;Uso da terra, mudanca do uso da terra e florestas;1998;CO2;1138370;14,9;13,55;14,225
BR;252;Uso da terra, mudanca do uso da terra e florestas;1998;N2O;80;14,9;13,55;14,225
BR;254;Uso da terra, mudanca do uso da terra e florestas;1999;CH4;1979;15,03;12,69;13,86
BR;253;Uso da terra, mudanca do uso da terra e florestas;1999;CO2;1131000;15,03;12,69;13,86
